Id_Pelicula;Titulo_original;Fecha_estreno;Descripcion;Cartel_path;Genero_Pelicula
31;Inglourious Basterds;19/08/2009;"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.";/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg;Drama, Thriller, War
32;The Hunger Games;12/03/2012;Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which â€œTributesâ€ must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If sheâ€™s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.;/yXCbOiVDCxO71zI7cuwBRXdftq8.jpg;Science Fiction, Adventure, Fantasy
33;Spider-Man: Homecoming;05/07/2017;Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.;/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg;Action, Adventure, Science Fiction, Drama
34;Harry Potter and the Chamber of Secrets;13/11/2002;Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermioneâ€™s magical abilities and courage.;/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg;Adventure, Fantasy
35;Guardians of the Galaxy Vol. 2;19/04/2017;The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.;/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg;Science Fiction, Adventure, Action
36;The Lord of the Rings: The Two Towers;18/12/2002;Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.;/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg;Adventure, Fantasy, Action
37;Captain America: The First Avenger;22/07/2011;During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull â€“ Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.;/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg;Action, Adventure, Science Fiction
38;Suicide Squad;03/08/2016;From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.;/xFw9RXKZDvevAGocgBK0zteto4U.jpg;Action, Adventure, Fantasy
39;Harry Potter and the Prisoner of Azkaban;31/05/2004;Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.;/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg;Adventure, Fantasy
40;Thor;21/04/2011;Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.;/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg;Adventure, Fantasy, Action
41;Iron Man 2;28/04/2010;With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances â€“ and confront powerful enemies.;/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg;Adventure, Action, Science Fiction
42;Batman Begins;10/06/2005;Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.;/4MpN4kIEqUjW8OPtOQJXlTdHiJV.jpg;Action, Crime, Drama
43;Thor: Ragnarok;02/10/2017;Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.;/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg;Action, Adventure, Science Fiction
44;Inside Out;09/06/2015;Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley's guiding emotionsâ€” Joy, Fear, Anger, Disgust and Sadnessâ€”live in Headquarters, the control centre inside Riley's mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school.;/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg;Animation, Family, Adventure, Drama, Comedy
45;Jurassic World;06/06/2015;Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.;/A0LZHXUzo5C60Oahvt7VxvwuzHw.jpg;Action, Adventure, Science Fiction, Thriller
46;Se7en;22/09/1995;"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.";/6yoghtyTpznpBik8EngEmJskVUO.jpg;Crime, Mystery, Thriller
47;Harry Potter and the Goblet of Fire;16/11/2005;When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schoolsâ€”the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.;/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg;Adventure, Fantasy
48;Pirates of the Caribbean: The Curse of the Black Pearl;09/07/2003;Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.;/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg;Adventure, Fantasy, Action
49;Harry Potter and the Deathly Hallows: Part 2;12/07/2011;Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.;/c54HpQmuwXjHq2C9wmoACjxoom3.jpg;Fantasy, Adventure
50;Star Wars;25/05/1977;Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.;/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg;Adventure, Action, Science Fiction
51;Wonder Woman;30/05/2017;An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.;/imekS7f1OuHyUP2LAiTEM0zBzUz.jpg;Action, Adventure, Fantasy
